date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	300000	1.085944825	true	1.053	1.119	ms	"1.06017 1.062794 1.063867 1.068653 1.07057 1.072799 1.100818 1.156484 1.068385 1.070395 1.074184 1.075614 1.07805 1.080063 1.102332 1.184109 1.062878 1.063313 1.064215 1.064597 1.066655 1.070011 1.094913 1.126118 1.071561 1.072784 1.074473 1.08119 1.08148 1.086677 1.099038 1.192588 1.068855 1.069344 1.069474 1.069533 1.070774 1.081092 1.093267 1.153676"
2014-06-10T12:34:10Z	900000	5.269517275	true	5.216	5.323	ms	"5.220041 5.240615 5.24202 5.25121 5.263618 5.264139 5.264939 5.404688 5.210111 5.223409 5.240122 5.247241 5.255892 5.263264 5.316158 5.407697 5.22693 5.234445 5.239382 5.246695 5.257109 5.266897 5.27028 5.413088 5.232812 5.236383 5.236498 5.240597 5.242196 5.278232 5.285876 5.38476 5.230696 5.243608 5.249417 5.249934 5.251545 5.276959 5.319772 5.351416"
2014-06-10T12:34:10Z	1500000	8.58667845	true	8.200	8.973	ms	"8.707772 8.716605 8.731717 8.73456 8.740189 8.75425 8.754796 8.96219 8.6849 8.718364 8.722574 8.728078 8.733448 8.74309 8.753761 8.982752 7.759769 7.789321 7.792146 7.819378 7.832397 7.859902 7.87058 8.17844 8.731581 8.732115 8.745505 8.749293 8.752999 8.754187 8.786137 8.97861 8.715731 8.725342 8.729096 8.735022 8.739829 8.759173 8.767084 8.994455"
