date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	150000	16.173201175000003	true	8.061	24.285	ms	"28.624244 28.630973 29.112553 29.41108 29.586812 29.597766 30.022536 30.129018 30.487357 31.272937 11.140099 11.145291 11.191126 11.298007 11.344264 11.424913 11.600775 12.022369 12.14629 13.349941 11.125135 11.1578 11.171045 11.213252 11.307055 11.382926 11.58288 11.988157 12.056845 13.382081 11.168714 11.188342 11.221195 11.279258 11.352872 11.452266 11.616735 12.014871 12.237926 13.490341"
2014-06-10T12:34:10Z	450000	51.616724175000016	true	29.881	73.352	ms	"17.564517 70.566285 90.840025 91.889735 91.940217 91.96317 91.980914 91.99595 92.015174 92.027234 37.260019 40.842973 40.949327 40.955484 40.969054 41.007093 41.007789 41.187263 41.275131 41.316874 39.174532 41.470974 41.478153 41.502649 41.524286 41.609895 41.863351 41.894594 41.912377 42.003123 41.766094 41.799629 41.811385 41.820992 41.834277 41.856022 42.160796 42.168106 42.267315 43.196189"
2014-06-10T12:34:10Z	750000	63.846784399999976	true	49.822	77.871	ms	"64.160544 84.21466 85.200913 85.320326 85.358272 85.365627 85.419327 85.548333 85.576298 90.767114 58.67587 59.017194 59.106465 59.267949 59.294606 59.300454 59.361164 59.490468 59.499606 66.602645 61.875932 63.192247 63.407724 63.46045 63.593287 63.639256 63.783404 63.857156 65.381269 69.007549 45.187703 46.859701 46.865412 46.895743 46.899758 46.906552 46.912558 46.915487 46.940108 55.742245"
