date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	10000000	5.150058916666667	true	5.058	5.242	ms	"5.062411 5.108412 5.112676 5.124705 5.146354 5.172942 5.176239 5.420812 5.056865 5.093144 5.102375 5.113414 5.116729 5.118398 5.153144 5.347316 5.010483 5.049743 5.064238 5.094305 5.120186 5.128086 5.157489 5.394097 5.00044 5.021335 5.108898 5.115879 5.116168 5.133985 5.165098 5.368323 5.024886 5.116692 5.126499 5.132282 5.1373 5.17307 5.173846 5.348156 5.132521 5.134889 5.134937 5.140163 5.179195 5.188325 5.194576 5.390802"
2014-06-10T12:34:10Z	30000000	25.714560999999993	true	11.773	39.656	ms	"15.200817 15.205835 15.225655 15.235255 15.50929 15.528686 15.536636 15.85939 15.171084 15.178243 15.185125 15.198385 15.441468 15.443858 15.508622 15.819264 15.128759 15.151274 15.174629 15.191904 15.351222 15.390821 15.400219 15.703498 32.018176 47.800435 47.963525 47.977002 48.043008 48.07718 48.086391 48.155229 39.230972 47.508609 47.55822 47.626129 47.700497 47.807325 47.819912 47.826619 15.471448 15.474718 15.52433 15.525383 15.528602 15.535928 15.538276 15.761075"
2014-06-10T12:34:10Z	50000000	75.93691504166662	true	67.838	84.036	ms	"64.024085 78.311303 79.789193 79.81385 79.959238 80.063496 80.065164 80.288709 52.585101 77.475596 79.511817 79.616374 79.669993 79.96723 79.968802 79.982199 50.440537 78.292705 80.502582 80.503626 80.510801 80.520038 80.574289 80.749844 52.019807 78.551722 80.268177 80.396285 80.397388 80.461303 80.473486 80.485269 51.966288 78.094747 78.748554 79.652194 79.906537 80.089146 80.284664 80.555423 53.742824 74.784692 75.097237 75.125779 75.132323 75.16451 75.181705 75.20529"
