date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	10000000	6.891556333333331	true	3.294	10.489	ms	"5.141718 5.14709 5.15045 5.15131 5.168867 5.193595 5.225119 5.470822 14.385736 15.507592 15.508797 15.539064 15.552695 15.552917 15.564824 15.666918 5.068092 5.113785 5.130327 5.131935 5.132463 5.158124 5.180901 5.428506 5.119946 5.122151 5.125809 5.128502 5.155093 5.171316 5.18447 5.420925 5.127106 5.127373 5.12842 5.130045 5.15557 5.175267 5.17969 5.429721 5.155762 5.157271 5.160178 5.165454 5.167987 5.171291 5.22175 5.44196"
2014-06-10T12:34:10Z	30000000	28.033208729166663	true	15.700	40.366	ms	"15.404307 15.462715 15.466431 15.476062 15.480115 15.484287 15.491548 15.860679 28.006329 35.885371 36.126729 36.130013 36.130044 36.146494 36.167097 36.319013 15.333284 15.354525 15.393824 15.397378 15.418409 15.424643 15.482972 15.745792 32.051001 44.700695 44.797053 44.821724 44.835681 44.855674 44.900941 45.046596 32.230736 44.63145 44.749329 44.817751 44.833701 44.868675 44.95285 45.003302 15.56021 15.565459 15.568797 15.574058 15.57646 15.589626 15.604472 15.869717"
2014-06-10T12:34:10Z	50000000	57.49879712500001	true	40.977	74.021	ms	"31.705133 35.602492 35.613731 35.915189 35.943057 35.946325 35.953469 35.996383 55.161351 77.250136 77.307548 77.31354 77.432459 77.456607 77.62335 77.625774 47.193013 64.447433 64.66727 64.691944 64.698116 64.704718 64.727525 64.757209 30.304736 33.838459 34.639402 34.665185 34.683496 34.706044 34.731428 34.75436 51.680957 73.296268 73.347123 74.764452 74.764957 74.814745 74.858239 74.96469 49.15182 69.436172 69.440059 69.441452 69.471588 69.47394 69.484679 69.494239"
