date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	300000	1.0546593250000005	true	1.005	1.104	ms	"1.01801 1.018023 1.018264 1.018323 1.020601 1.027031 1.047957 1.071536 1.035457 1.03567 1.036155 1.038237 1.042001 1.045148 1.053233 1.091332 1.067128 1.075834 1.07739 1.078862 1.080469 1.105211 1.140335 1.290148 1.030091 1.030218 1.030508 1.032659 1.038392 1.041035 1.045344 1.073491 1.022909 1.023956 1.02468 1.026091 1.031694 1.034581 1.045191 1.123178"
2014-06-10T12:34:10Z	900000	5.18538105	true	5.072	5.299	ms	"4.940119 4.940969 4.942537 4.960792 4.973679 5.008414 5.023762 5.17152 5.18618 5.192964 5.19917 5.209674 5.212066 5.226895 5.241572 5.353312 5.192861 5.19357 5.200795 5.208982 5.22648 5.230416 5.235123 5.349071 5.18446 5.202276 5.203077 5.203237 5.213485 5.222853 5.235484 5.338959 5.208764 5.213771 5.216213 5.223301 5.232692 5.26557 5.270095 5.360082"
2014-06-10T12:34:10Z	1500000	8.646430550000002	true	8.440	8.853	ms	"8.222581 8.234723 8.237077 8.239775 8.246178 8.251561 8.252096 8.525449 8.68901 8.690706 8.698877 8.702133 8.705315 8.728924 8.730565 8.930387 8.665997 8.678573 8.684431 8.694212 8.69648 8.724561 8.72749 8.876021 8.699018 8.700258 8.700564 8.703613 8.711051 8.727154 8.749203 8.895967 8.720235 8.722778 8.72357 8.744225 8.75484 8.765249 8.783023 8.923352"
