date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	1.0755830625000002	true	1.071	1.080	ms	"1.072921 1.072929 1.072943 1.072971 1.073127 1.073185 1.073262 1.085114 1.072849 1.072972 1.072988 1.073341 1.073422 1.073942 1.080473 1.08953 1.073006 1.073089 1.073094 1.073118 1.073151 1.073315 1.08396 1.087322 1.073001 1.073023 1.073033 1.073041 1.073264 1.073366 1.080024 1.089727 1.072913 1.072919 1.072952 1.073041 1.073106 1.073474 1.080506 1.084945 1.07292 1.072923 1.072938 1.073023 1.073101 1.073121 1.078346 1.083256"
2014-06-10T12:34:10Z	3000000	3.2383809791666667	true	3.196	3.280	ms	"3.215915 3.21917 3.221017 3.221506 3.222995 3.224792 3.23054 3.356023 3.216164 3.219591 3.221031 3.223527 3.224008 3.224331 3.224449 3.372211 3.216259 3.218991 3.222304 3.223104 3.223413 3.224731 3.227938 3.350125 3.215941 3.216939 3.221787 3.222026 3.224214 3.225141 3.228645 3.357387 3.215804 3.215937 3.220935 3.221678 3.222882 3.2229 3.224596 3.348652 3.215918 3.219202 3.219679 3.219766 3.221483 3.222781 3.22294 3.350919"
2014-06-10T12:34:10Z	5000000	6.244869958333332	true	5.670	6.820	ms	"6.722175 6.809615 6.837019 6.837303 6.873354 6.90821 6.951156 7.01567 5.655061 6.469199 6.470581 6.475619 6.481542 6.537381 6.569661 6.778493 5.644466 6.386625 6.406357 6.439033 6.455874 6.476012 6.528749 6.927885 5.425668 5.440348 5.444842 5.448074 5.453281 5.462058 5.497446 5.64949 6.693692 6.722276 6.728301 6.821868 6.832072 6.851095 6.868305 7.080271 5.421639 5.423275 5.425866 5.425965 5.425985 5.43267 5.470657 5.651574"
