date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	10000000	5.237486604166667	true	5.150	5.325	ms	"5.110515 5.151234 5.171187 5.194043 5.197075 5.218592 5.22188 5.413689 5.258949 5.260642 5.263743 5.266378 5.298517 5.298562 5.299583 5.440887 5.213935 5.232784 5.250931 5.25257 5.274231 5.277274 5.281358 5.402317 5.129763 5.132377 5.183418 5.190526 5.196798 5.215937 5.227325 5.460036 5.079903 5.093583 5.188216 5.199228 5.201937 5.23039 5.232766 5.421776 5.112818 5.112995 5.187438 5.192613 5.21318 5.224011 5.231331 5.490116"
2014-06-10T12:34:10Z	30000000	15.59789395833333	true	15.406	15.790	ms	"15.381224 15.444496 15.44834 15.470883 15.613749 15.615223 15.655568 15.989668 15.43611 15.442787 15.470038 15.482378 15.732473 15.736817 15.779475 16.03889 15.45672 15.472762 15.486404 15.551622 15.734986 15.749586 15.755025 16.070601 15.382784 15.390749 15.401757 15.575247 15.584165 15.584527 15.585826 15.944858 15.279792 15.343497 15.35561 15.37804 15.606859 15.685993 15.705709 15.93331 15.410474 15.41922 15.433541 15.464337 15.69269 15.707772 15.747077 16.069251"
2014-06-10T12:34:10Z	50000000	68.15406370833334	true	49.971	86.337	ms	"52.777813 77.916424 78.457766 79.247293 80.217333 80.289741 80.295053 80.417448 53.792557 78.755231 78.945385 80.096498 80.098312 80.133427 80.151467 80.168679 28.17516 28.492147 28.842197 29.162011 29.177032 29.182073 29.272123 29.63861 53.296149 80.016673 80.320747 80.369076 80.374426 80.375027 80.416076 80.480106 52.503814 79.122703 79.370471 79.51561 79.592017 79.736243 79.870898 79.900355 51.99017 75.75371 75.934559 77.665114 77.752382 77.774686 77.777139 77.785127"
