date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	30000000	12.075838533333332	true	12.066	12.085	ms	"12.065784 12.067015 12.06784 12.068124 12.068631 12.069679 12.074329 12.079797 12.086599 12.098041 12.073982 12.076551 12.076963 12.080439 12.08487 12.070437 12.071689 12.074129 12.082934 12.085633 12.063564 12.067817 12.068704 12.070285 12.077936 12.075274 12.075606 12.078833 12.085229 12.088442"
2014-06-10T12:34:10Z	90000000	36.21824016666667	true	36.190	36.247	ms	"36.203203 36.235874 36.244573 36.256347 36.288359 36.194987 36.208774 36.221487 36.226259 36.250859 36.192334 36.202905 36.217953 36.221637 36.228409 36.189141 36.225347 36.227423 36.227836 36.242907 36.18813 36.191252 36.19133 36.191527 36.196371 36.198818 36.206443 36.210957 36.232403 36.23336"
2014-06-10T12:34:10Z	150000000	60.33370269999999	true	60.314	60.354	ms	"60.319911 60.323495 60.327635 60.329122 60.331606 60.321948 60.348475 60.351565 60.35162 60.352239 60.315047 60.321905 60.33105 60.34686 60.378965 60.303019 60.334694 60.348391 60.348637 60.352819 60.305835 60.317647 60.322281 60.32487 60.337844 60.314326 60.325081 60.325295 60.3445 60.354399"
