date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	10000000	5.137743291666666	true	5.036	5.239	ms	"5.02141 5.070721 5.097762 5.12795 5.140284 5.1414 5.179026 5.426254 5.029889 5.049707 5.124103 5.127833 5.132445 5.152406 5.190659 5.363689 5.014058 5.019904 5.11761 5.126518 5.141149 5.151189 5.175802 5.364971 5.014504 5.050546 5.06063 5.11521 5.121489 5.125104 5.160062 5.427615 5.095191 5.097946 5.104639 5.106402 5.149113 5.175056 5.219212 5.369249 4.991458 4.992208 4.994032 5.080139 5.107262 5.109548 5.115851 5.342473"
2014-06-10T12:34:10Z	30000000	20.530345729166665	true	9.507	31.554	ms	"15.175703 15.182909 15.228415 15.249851 15.469507 15.477336 15.485387 15.82044 15.197866 15.220378 15.247175 15.249372 15.528929 15.532772 15.564117 15.807746 32.155538 48.11163 48.135611 48.201089 48.234439 48.234661 48.24653 48.314087 15.125196 15.145191 15.181591 15.236134 15.449954 15.503277 15.510799 15.733987 15.462185 15.471546 15.477664 15.48325 15.488959 15.494637 15.545803 15.739955 15.040564 15.052656 15.060897 15.070814 15.456151 15.457232 15.475874 15.720791"
2014-06-10T12:34:10Z	50000000	60.32468135416665	true	36.559	84.091	ms	"25.572849 25.598039 25.611437 25.635 25.646436 25.847808 25.993838 26.006788 65.276739 79.516349 79.874292 79.990469 80.091191 80.092399 80.145784 80.299562 52.220489 79.143857 80.18556 80.245088 80.275991 80.32749 80.407577 80.453451 52.767915 80.161132 80.29603 80.298434 80.324618 80.350205 80.412888 80.460421 66.999337 80.114902 80.443758 80.523147 80.54113 80.585129 80.622235 80.665069 25.573504 25.580305 25.606137 25.61642 25.674672 25.675883 25.776688 26.056263"
