date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	30000000	13.420264366666668	true	13.405	13.436	ms	"13.403134 13.411973 13.412608 13.419009 13.423767 13.401841 13.411422 13.41378 13.416907 13.423442 13.412092 13.414533 13.416959 13.418763 13.425155 13.415999 13.416323 13.418735 13.426659 13.428421 13.408045 13.412791 13.422901 13.425472 13.44471 13.409656 13.419235 13.423331 13.440314 13.469954"
2014-06-10T12:34:10Z	90000000	40.23443606666665	true	40.209	40.260	ms	"40.216775 40.220302 40.22687 40.272304 40.28492 40.198323 40.217248 40.225359 40.237588 40.258508 40.204191 40.207163 40.215167 40.23168 40.259177 40.233115 40.242766 40.247321 40.251409 40.256746 40.225681 40.233273 40.238503 40.246777 40.255147 40.204016 40.207643 40.222884 40.230892 40.261334"
2014-06-10T12:34:10Z	150000000	67.0344038	true	67.009	67.060	ms	"67.011707 67.018432 67.018441 67.023937 67.029499 67.005653 67.01538 67.024697 67.025385 67.032016 67.00768 67.007848 67.008197 67.022808 67.03197 67.009219 67.016183 67.046483 67.047545 67.051838 67.029437 67.059601 67.059645 67.073459 67.081728 67.038078 67.051657 67.05487 67.064224 67.064497"
