date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	600000	1.1897351666666667	true	1.187	1.192	ms	"1.188492 1.188537 1.189041 1.189089 1.18935 1.189711 1.189781 1.190156 1.188486 1.188576 1.188581 1.188738 1.189489 1.189615 1.1901 1.190275 1.188267 1.18837 1.188408 1.188626 1.18884 1.188976 1.189004 1.189348 1.186334 1.18702 1.188023 1.188644 1.188652 1.188919 1.18965 1.18997 1.188271 1.188324 1.189052 1.189175 1.189206 1.189438 1.189879 1.190335 1.188191 1.18926 1.189486 1.192694 1.194552 1.195936 1.19784 1.200581"
2014-06-10T12:34:10Z	1800000	3.5727652708333326	true	3.567	3.578	ms	"3.567244 3.56988 3.572213 3.57309 3.576196 3.578646 3.580786 3.582525 3.568131 3.568186 3.568366 3.569374 3.569827 3.570036 3.570855 3.57104 3.562258 3.569489 3.569562 3.571172 3.571929 3.573078 3.573918 3.574477 3.565023 3.566742 3.566858 3.569193 3.573796 3.574865 3.575257 3.577214 3.563696 3.57037 3.57292 3.575025 3.575269 3.575653 3.578172 3.595329 3.563964 3.568354 3.569116 3.573411 3.574739 3.576621 3.582356 3.586512"
2014-06-10T12:34:10Z	3000000	5.951754062500001	true	5.945	5.959	ms	"5.948146 5.949641 5.950273 5.950533 5.951365 5.951724 5.95313 5.955165 5.949154 5.950061 5.954822 5.955542 5.961612 5.965986 5.967907 5.96917 5.943513 5.944878 5.946728 5.946909 5.947789 5.949526 5.949594 5.950141 5.938854 5.939132 5.939898 5.943278 5.943618 5.944103 5.950958 5.967499 5.941676 5.946462 5.951341 5.953966 5.954269 5.954594 5.956231 5.960022 5.943479 5.94594 5.952474 5.955295 5.955554 5.955793 5.956134 5.970316"
