date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	0.4296956041666668	true	0.425	0.435	ms	"0.426531 0.426644 0.427311 0.427407 0.427536 0.427636 0.434007 0.443412 0.42585 0.42623 0.426428 0.426773 0.427246 0.427742 0.430856 0.443531 0.42619 0.42654 0.426782 0.426797 0.426804 0.42696 0.427495 0.440999 0.426451 0.426766 0.426848 0.426892 0.4287 0.432582 0.439881 0.441346 0.426557 0.426968 0.427065 0.427209 0.427326 0.427533 0.432467 0.442747 0.426148 0.426157 0.426675 0.42668 0.426939 0.427353 0.435743 0.438649"
2014-06-10T12:34:10Z	3000000	1.1399442916666669	true	1.140	1.140	ms	"1.13985 1.13994 1.139941 1.139948 1.139985 1.140021 1.140132 1.140138 1.13976 1.13985 1.13987 1.139906 1.139921 1.139973 1.140007 1.140013 1.139886 1.1399 1.139903 1.139943 1.139977 1.140001 1.140018 1.140023 1.139748 1.139767 1.139802 1.139816 1.139892 1.139894 1.139911 1.139916 1.139877 1.13996 1.139974 1.139978 1.140034 1.140054 1.140131 1.140186 1.139842 1.13985 1.139856 1.1399 1.13996 1.139977 1.139999 1.140096"
2014-06-10T12:34:10Z	5000000	1.9014971874999997	true	1.899	1.904	ms	"1.898765 1.898814 1.89893 1.898985 1.903811 1.904263 1.904419 1.906207 1.898764 1.89878 1.898831 1.898975 1.903892 1.90519 1.905536 1.906526 1.898789 1.898793 1.89901 1.901983 1.904322 1.904576 1.904784 1.907568 1.898745 1.898806 1.898838 1.898843 1.898881 1.898883 1.898946 1.898995 1.898798 1.8988 1.898805 1.898856 1.903916 1.904287 1.904594 1.906357 1.898863 1.898866 1.898953 1.898988 1.904307 1.904409 1.905308 1.906308"
