date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	10000	1.01449385	true	0.995	1.034	ms	"0.991599 0.993072 0.995821 1.000315 1.000594 1.001141 1.01233 1.013194 0.99814 0.998621 0.999144 1.002851 1.003009 1.00464 1.007082 1.011715 1.019395 1.021857 1.025336 1.026455 1.026833 1.029514 1.03045 1.037984 1.012197 1.019965 1.022366 1.045066 1.04546 1.046135 1.060626 1.066734 0.992968 0.9936 0.995899 1.003413 1.004724 1.006161 1.006569 1.006779"
2014-06-10T12:34:10Z	30000	4.6777047750000005	true	2.616	6.739	ms	"3.23574 3.240384 3.242778 3.243061 3.243815 3.244069 3.24407 3.244375 3.24438 3.257111 3.258308 3.265679 3.268931 3.282298 3.293075 3.299474 3.263128 3.268237 5.739783 7.074409 7.252551 7.401503 8.832312 9.269177 3.248005 3.248373 3.253729 3.265628 3.269298 3.273196 3.280717 3.28284 6.857216 6.953801 7.046392 7.101403 7.113766 7.206216 7.248841 7.250122"
2014-06-10T12:34:10Z	50000	5.694619925	true	5.508	5.881	ms	"5.592401 5.59351 5.604481 5.618804 6.107262 6.18943 6.232513 6.292294 5.596123 5.596305 5.60554 5.612123 5.614155 5.620229 5.636523 5.638337 5.608649 5.609379 5.615511 5.616341 5.648247 5.682903 5.689169 5.69505 5.566857 5.57358 5.576325 5.577014 5.584288 5.58907 5.601535 5.612099 5.6642 5.707475 5.714203 5.715901 5.717452 5.718099 5.736466 5.814954"
