date	param-size	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	300000	19.291381933333334	true	16.623	21.960	ms	"17.237903 20.066002 20.738111 22.506062 23.636408 16.970597 17.383807 17.669951 19.386637 21.246903 17.193673 17.223443 17.532099 19.440175 21.199785 17.300674 17.711309 17.827997 18.45825 19.331208 17.177278 17.207041 17.426936 17.633423 17.778761 20.367269 21.176546 22.570139 23.09679 24.246281"
2014-06-10T12:34:10Z	900000	79.93723316666666	true	52.388	107.486	ms	"116.47623 116.488416 116.859431 116.936698 116.998745 63.538722 63.620297 63.75724 63.757538 63.8282 63.644736 63.862896 63.904818 63.934393 64.257823 63.811073 63.821201 63.823078 63.844086 63.920106 63.836102 63.869618 63.933973 63.995308 64.153365 104.79162 104.885028 104.901574 109.987555 112.677125"
2014-06-10T12:34:10Z	1500000	134.98521413333336	true	87.372	182.599	ms	"149.737845 195.031777 204.755086 205.04658 205.057287 107.306617 107.519391 107.554314 107.569826 107.608449 107.249094 107.393583 107.589416 107.615159 107.621071 107.401437 107.879559 107.896159 107.970331 108.066326 107.557707 107.626007 107.834774 107.872946 108.05818 186.060628 186.600573 186.816664 187.919252 189.340386"
